Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2018-08-14,661149,130985,64037,66948,10.126
2018-08-21,660739,126158,65346,60812,9.204
2018-08-28,569779,109580,58400,51180,8.982
2018-09-04,577239,104433,61667,42766,7.409
2018-09-11,592719,92958,74543,18415,3.107
2018-09-18,616694,85009,86388,-1379,0.224
2018-09-25,585740,90617,91736,-1119,0.191
2018-10-02,613383,88059,100158,-12099,1.973
2018-10-09,621138,83867,100752,-16885,2.718
2018-10-16,630259,85458,102251,-16793,2.664
2018-10-23,636495,81586,107691,-26105,4.101
2018-10-30,687108,79107,123824,-44717,6.508
2018-11-06,682492,80802,121945,-41143,6.028
2018-11-13,623342,79481,106165,-26684,4.281
2018-11-20,603702,79392,117240,-37848,6.269
2018-11-27,528844,81948,120561,-38613,7.301
2018-12-04,523682,85367,113774,-28407,5.424
2018-12-11,518577,87468,109870,-22402,4.32
2018-12-18,538634,96638,102263,-5625,1.044
2018-12-24,521427,91243,108247,-17004,3.261
2018-12-31,542214,87826,119846,-32020,5.905
2019-01-08,547663,94047,110526,-16479,3.009
2019-01-15,551978,95895,111856,-15961,2.892
2019-01-22,564730,100659,110110,-9451,1.674
2019-01-29,572520,93123,115637,-22514,3.932
2019-02-05,583346,98796,107939,-9143,1.567
2019-02-12,577232,92461,108514,-16053,2.781
2019-02-19,614790,86612,129330,-42718,6.948
2019-02-26,567778,83730,142297,-58567,10.315
2019-03-05,602962,83155,155604,-72449,12.016
2019-03-12,655148,83573,155721,-72148,11.012
2019-03-19,650312,83317,156823,-73506,11.303
2019-03-26,618565,80072,143825,-63753,10.307
2019-04-02,621938,78527,134966,-56439,9.075
2019-04-09,597702,77505,131774,-54269,9.08
2019-04-16,602301,78122,141198,-63076,10.473
2019-04-23,613282,81159,149151,-67992,11.087
2019-04-30,579436,76062,159564,-83502,14.411
2019-05-07,588174,78768,160914,-82146,13.966
2019-05-14,620326,79658,158119,-78461,12.648
2019-05-21,600372,82498,124258,-41760,6.956
2019-05-28,595814,85706,109486,-23780,3.991
2019-06-04,604140,77633,90981,-13348,2.209
2019-06-11,587649,82392,80651,1741,0.296
2019-06-18,606510,90351,67638,22713,3.745
2019-06-25,496355,92918,61405,31513,6.349
2019-07-02,482398,96328,59231,37097,7.69
2019-07-09,486419,91887,61513,30374,6.244
2019-07-16,504375,82697,63946,18751,3.718
2019-07-23,523620,76505,64726,11779,2.25
2019-07-30,496762,79534,64924,14610,2.941
2019-08-06,527403,77057,70838,6219,1.179
2019-08-13,522159,75589,71501,4088,0.783
2019-08-20,526773,73496,74745,-1249,0.237
2019-08-27,445985,76086,79142,-3056,0.685
2019-09-03,448721,70046,91083,-21037,4.688
2019-09-10,465009,76930,91319,-14389,3.094
2019-09-17,458093,76303,88880,-12577,2.746
2019-09-24,446663,71168,89947,-18779,4.204
2019-10-01,468623,68809,90323,-21514,4.591
2019-10-08,492001,72951,92089,-19138,3.89
2019-10-15,516692,72563,83127,-10564,2.045
2019-10-22,541212,79531,67432,12099,2.236
2019-10-29,518097,71584,66542,5042,0.973
2019-11-05,525413,70017,70671,-654,0.124
2019-11-12,527940,75080,74689,391,0.074
2019-11-19,499389,75513,77562,-2049,0.41
2019-11-26,433889,78847,68372,10475,2.414
2019-12-03,450615,88748,68181,20567,4.564
2019-12-10,466224,87809,76206,11603,2.489
2019-12-17,513996,100043,75301,24742,4.814
2019-12-24,516306,97987,78838,19149,3.709
2019-12-31,524777,102855,75585,27270,5.196
2020-01-07,553359,109908,82221,27687,5.003
2020-01-14,604320,117055,87268,29787,4.929
2020-01-21,645472,129816,88145,41671,6.456
2020-01-28,630775,136325,87856,48469,7.684
2020-02-04,650138,135618,83457,52161,8.023
2020-02-11,634249,133713,87773,45940,7.243
2020-02-18,647497,143987,79272,64715,9.995
2020-02-25,557399,127451,85464,41987,7.533
2020-03-03,533295,92936,77532,15404,2.888
2020-03-10,546604,92687,76005,16682,3.052
2020-03-17,519290,60462,66121,-5659,1.09
2020-03-24,495295,62369,44699,17670,3.568
2020-03-31,494478,77333,41362,35971,7.275
2020-04-07,493604,75597,49432,26165,5.301
2020-04-14,504792,77290,51909,25381,5.028
2020-04-21,504116,80828,56827,24001,4.761
2020-04-28,453802,79713,63738,15975,3.52
2020-05-05,467969,72779,68939,3840,0.821
2020-05-12,474540,69947,66965,2982,0.628
2020-05-19,504512,64616,81092,-16476,3.266
2020-05-26,504578,69724,81928,-12204,2.419
2020-06-02,516193,70844,84316,-13472,2.61
2020-06-09,501935,65046,90414,-25368,5.054
2020-06-16,538242,60565,90816,-30251,5.62
2020-06-23,570036,56685,104898,-48213,8.458
2020-06-30,484999,59936,98748,-38812,8.002
2020-07-07,496820,62322,95851,-33529,6.749
